incident_number,cal_year,type_of_incident,cost_gbp,final_description,animal_group_parent,property_category,ward_code,ward,stn_ground_name,easting,northing
C2102,2012,Special Service,260,ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Outdoor,E05000205,Palmers Green,Edmonton,531350,192250
H2103,2012,Special Service,260,HORSE TRAPPED BY TREE TRUNK,Horse,Outdoor,E05011474,Old Coulsdon,Purley,532050,157150
H2104,2012,Special Service,780,HORSE TRAPPED IN DITCH,Horse,Outdoor,E05000110,Chelsfield and Pratts Bottom,Orpington,549050,165450
C2105,2012,Special Service,260,CAT TRAPPED IN BASEMENT,Cat,Dwelling,E05009381,London Fields,Shoreditch,533550,184150
C2106,2012,Special Service,260,CAT TRAPPED IN DITCH,Cat,Outdoor,E05000423,Herne Hill,Brixton,532150,175850
C2107,2012,Special Service,260,NEW BORN KITTENS STUCK IN HOLE,Cat,Dwelling,E05000198,Enfield Highway,Enfield,536150,197350
D2108,2012,Special Service,260,DOG TRAPPED IN RAILINGS,Dog,Outdoor,E05000445,Grove Park,Lee Green,540150,173450
C2109,2012,Special Service,260,CAT STUCK IN WINDOW,Cat,Dwelling,E05000478,Canning Town South,Plaistow,540050,181650
F2110,2012,Special Service,260,ASSIST RSPCA WITH FOX TRAPPED IN GARAGE,Fox,Non Residential,E05009317,Bethnal Green,Bethnal Green,535350,182750
D2111,2012,Special Service,260,DOG TRAPPED IN BARS,Dog,Outdoor Structure,E05000613,East Putney,Wandsworth,523950,174850
B2112,2012,Special Service,260,ASSIST RSPCA WITH SEGULLS TRAPPED DOWN A WELL,Bird,Non Residential,E05009305,Farringdon Without,Soho,531150,181350
B2113,2012,Special Service,260,ANIMAL TRAPPED BEHIND CHIMNEY,Bird,Dwelling,E05000029,Chadwell Heath,Dagenham,548350,189450
C2114,2012,Special Service,520,PREGNANT CAT TRAPPED UNDER FLOORBOARDS OF CELLAR,Cat,Dwelling,E05000623,Shaftesbury,Battersea,528050,175850
B2115,2012,Special Service,260,ASSIST RSPCA WITH BIRD TRAPPED IN NETTING,Bird,Non Residential,E05000528,South Richmond,Richmond,517950,175050
C2116,2012,Special Service,520,KITTEN TRAPPED UNDER FLOORBOARDS,Cat,Dwelling,E05011111,Peckham Rye,Forest Hill,535050,174250
B2117,2012,Special Service,260,BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05011096,Camberwell Green,Peckham,532150,177450
D2118,2012,Special Service,260,DOG TRAPPED UNDER FENCE,Dog,Outdoor,E05000524,Kew,Richmond,519350,177150
D2119,2012,Special Service,260,DOG WITH HEAD STUCK IN RAILINGS,Dog,Outdoor,E05000222,Greenwich West,Greenwich,538450,177450
D2120,2012,Special Service,260,DEER TRAPPED ON RAILWAY LINE,Deer,Outdoor,E05000120,Kelsey and Eden Park,Beckenham,537750,167250
B2121,2012,Special Service,260,DUCKLINGS TRAPPED IN LOCK,Bird,Outdoor,E05009328,Poplar,Poplar,538950,181050
C2123,2012,Special Service,260,TO ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Outdoor,E05000615,Furzedown,Tooting,529150,171750
C2124,2012,Special Service,260,CAT TRAPPED DOWN DISUSED TOILET IN DERELICT BUILDING,Cat,Non Residential,E05000178,Greenford Green,Northolt,515250,185050
C2125,2012,Special Service,260,CAT TRAPPED,Cat,Dwelling,E05009335,Weavers,Shoreditch,533550,182550
D2126,2012,Special Service,260,DOG IN CANAL,Dog,Outdoor,E05000100,Stonebridge,Park Royal,520650,183850
D2127,2012,Special Service,520,DEER TRAPPED IN FENCE,Deer,Outdoor Structure,E05000518,Fulwell and Hampton Hill,Twickenham,514950,171050
C2128,2012,Special Service,260,KITTEN TRAPPED IN TREE,Cat,Outdoor,E05000052,Garden Suburb,West Hampstead,525950,187450
C2129,2012,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,Dwelling,E05000207,Southbury,Edmonton,534050,195650
D2130,2012,Special Service,260,DOG WITH HEAD TRAPPED IN RAILINGS,Dog,Outdoor,E05000222,Greenwich West,Greenwich,538650,177050
C2131,2012,Special Service,260,CAT WITH HEAD STUCK IN HOLE,Cat,Outdoor Structure,E05000449,New Cross,Deptford,536150,177450
C2133,2012,Special Service,260,CAT WITH PAW TRAPPED IN WINDOW MECHANISM,Cat,Dwelling,E05000124,Petts Wood and Knoll,Orpington,544450,167650
D2134,2012,Special Service,260,DOG WITH HEAD TRAPPED IN GARDEN FURNITURE,Dog,Dwelling,E05000564,Sutton Central,Sutton,526650,164050
B2135,2012,Special Service,260,BIRD TRAPPED  IN CHIMNEY,Bird,Dwelling,E05000427,Prince's,Lambeth,531350,178950
C2136,2012,Special Service,260,CAT TRAPPED IN DRAIN,Cat,Non Residential,E05000487,Little Ilford,Ilford,542550,185850
B2137,2012,Special Service,260,BIRDS TRAPPED IN WIRE,Bird,Outdoor Structure,E05009331,St. Peter's,Bethnal Green,534850,182850
B2138,2012,Special Service,260,BIRDS TRAPPED IN NETTING,Bird,Outdoor Structure,E05000469,Raynes Park,New Malden,522850,168950
B2139,2012,Special Service,260,ASSIST RSPCA WITH TRAPPED BIRDS IN NETTING,Bird,Non Residential,E05009331,St. Peter's,Bethnal Green,534950,182750
B2140,2012,Special Service,260,BIRDS TRAPPED IN WIRE MESH,Bird,Non Residential,E05000469,Raynes Park,New Malden,523250,169250
D2141,2012,Special Service,260,DOG STUCK IN FENCE,Dog,Outdoor Structure,E05011480,Selsdon & Addington Village,Addington,534750,162450
C2142,2012,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,Dwelling,E05011483,Shirly South,Addington,535750,164450
C2143,2012,Special Service,260,ASSIST RSPCA WITH CAT TRAPPED ON BALCONY,Cat,Dwelling,E05011099,Dulwich Hill,Forest Hill,534150,173850
H2144,2012,Special Service,260,HORSE IN OVERFLOW CANAL,Horse,Outdoor,E05000203,Jubilee,Chingford,537350,194950
C2145,2012,Special Service,260,KITTEN TRAPPED ON ROOF,Cat,Dwelling,E05011482,Shirley North,Woodside,535750,165750
B2147,2012,Special Service,260,CROW TRAPPED ON AERIAL,Bird,Non Residential,E05000408,Grove,Surbiton,517750,168850
B2148,2012,Special Service,260,BIRD TRAPPED IN SASH WINDOW,Bird,Dwelling,E05000251,Askew,Hammersmith,522250,179850
B2149,2012,Special Service,260,DUCKLINGS STUCK IN LOCKED DRAIN,Bird,Outdoor Structure,E05000515,Wanstead,Leytonstone,541650,187450
D2150,2012,Special Service,260,DOG TRAPPED UNDER CAR,Dog,Road Vehicle,E05000428,St. Leonard's,Tooting,530150,172550
B2151,2012,Special Service,520,TWO DUCKLINGS STUCK IN GRID,Bird,Outdoor Structure,E05000515,Wanstead,Leytonstone,541650,187450
F2152,2012,Special Service,260,ASSIST RSPCA WITH FOX STUCK BETWEEN TWO HOUSES,Fox,Dwelling,E05011243,Fullwell,Hainault,543450,190250
D2153,2012,Special Service,260,DOG FALLEN DOWN DRAIN SHAFT,Dog,Outdoor,E05000487,Little Ilford,Ilford,542450,185750
C2154,2012,Special Service,260,CAT STUCK DOWN HOLE IN GARDEN,Cat,Dwelling,E05000088,Dollis Hill,Willesden,523150,186450
B2155,2012,Special Service,260,BIRD TRAPPED IN TREE,Bird,Outdoor,E05000380,St. Peter's,Islington,532150,184050
B2156,2012,Special Service,260,PIGEON TRAPPED IN CHIMNEY,Bird,Dwelling,E05000095,Mapesbury,West Hampstead,523950,185150
C2157,2012,Special Service,260,CAT TRAPPED BEHIND SINK,Cat,Dwelling,E05000281,Tottenham Hale,Tottenham,533850,189950
C2158,2012,Special Service,260,ASSIST RSPCA WITH KITTEN STUCK IN TREE - NOT TRAPPED,Cat,Outdoor,E05000320,St. Andrew's,Hornchurch,553450,187050
B2159,2012,Special Service,260,PIGEON TRAPPED IN WIRE,Bird,Non Residential,E05009385,Stoke Newington,Stoke Newington,533550,186550
D2160,2012,Special Service,260,DOG TRAPPED INBETWEEN WALL AND SHED,Dog,Non Residential,E05011233,West Heath,Bexley,547750,177050
D2161,2012,Special Service,260,DOG TRAPPED IN IN BUSHES,Dog,Outdoor,E05000078,Longlands,Sidcup,545550,171750
C2163,2012,Special Service,520,CAT STUCK IN TREE,Cat,Outdoor,E05000424,Knight's Hill,West Norwood,531350,172450
C2164,2012,Special Service,260,DISTRESSED KITTEN TRAPPED IN TREE,Cat,Dwelling,E05000126,Shortlands,Bromley,539650,167850
B2165,2012,Special Service,260,PIGEON TRAPPED BEHIND GAS FIREPLACE,Bird,Dwelling,E05000297,Pinner,Harrow,511550,190750
B2166,2012,Special Service,260,BIRD TRAPPED IN OLYMPIC ADVERTISING BANNER ON LAMPOST,Bird,Outdoor Structure,E05009393,Courtfield,Kensington,525950,178850
B2167,2012,Special Service,260,ASSIST RSPCA WITH BIRD RESCUE,Bird,Outdoor Structure,E05000616,Graveney,Tooting,527250,170950
C2168,2012,Special Service,260,ASSIST RSPCA WITH CAT TRAPPED BEHIND WALL,Cat,Dwelling,E05000620,Queenstown,Clapham,528750,176250
D2169,2012,Special Service,260,DOG TRAPPED UNDER FENCE,Dog,Outdoor Structure,E05011100,Dulwich Village,Brixton,532550,174950
D2170,2012,Special Service,260,DOG TRAPPED IN FENCE,Dog,Outdoor,E05000175,East Acton,Park Royal,520350,182150
C2171,2012,Special Service,260,CAT IN TREE,Cat,Outdoor,E05000401,Berrylands,Surbiton,519050,166850
C2172,2012,Special Service,260,CAT STUCK IN FALSE CEILING,Cat,Dwelling,E05000033,Goresbrook,Dagenham,548950,183850
C2173,2012,Special Service,260,CAT TRAPPED BEHIND FENCE,Cat,Outdoor Structure,E05000496,Barkingside,Hainault,543750,189050
C2174,2012,Special Service,260,ASSIST RSPCA WITH KITTEN STUCK ON BALCONY,Cat,Dwelling,E05000450,Perry Vale,Forest Hill,535550,173150
C2175,2012,Special Service,260,CAT TRAPPED BEHIND BATH PANEL,Cat,Dwelling,E05011218,Belvedere,Erith,548550,179150
C2176,2012,Special Service,260,CAT TRAPPED IN BARBED WIRE,Cat,Non Residential,E05000311,Hacton,Hornchurch,553950,185950
D2177,2012,Special Service,260,DOG WITH HEAD STUCK IN RAILING,Dog,Outdoor Structure,E05009320,Bow West,Bethnal Green,537050,182850
D2178,2012,Special Service,260,DOG IN RIVER LEVEL 2 LINE OPS,Dog,Outdoor,E05000039,Thames,Barking,544850,182950
C2179,2012,Special Service,260,CAT STUCK UP  CHIMNEY,Cat,Dwelling,E05000430,Streatham Hill,West Norwood,530750,172950
C2180,2012,Special Service,260,CAT FALLEN FROM 3RD FLOOR TO LEDGE,Cat,Dwelling,E05000622,St. Mary's Park,Battersea,527150,176750
C2181,2012,Special Service,260,CAT STUCK IN TREE,Cat,Outdoor,E05000371,Finsbury Park,Holloway,531050,186450
C2182,2012,Special Service,260,CAT STUCK ON ROOF,Cat,Dwelling,E05000622,St. Mary's Park,Battersea,527350,176350
C2184,2012,Special Service,260,CAT TRAPPED BEHIND CUPBOARD,Cat,Dwelling,E05000490,Plaistow South,Plaistow,540750,181950
C2186,2012,Special Service,260,CAT TRAPPED IN SHUTTERS,Cat,Non Residential,E05000229,Woolwich Common,Plumstead,543650,178750
C2187,2012,Special Service,260,ASSIST RSPCA WITH CAT TRAPPED IN FLAT,Cat,Dwelling,E05000418,Clapham Common,Clapham,529550,175050
C2188,2012,Special Service,260,CAT FALLEN FROM WINDOW INTO SUB LEVEL RECESS,Cat,Outdoor,E05009317,Bethnal Green,Bethnal Green,535850,182750
C2189,2012,Special Service,260,2 WEEK OLD KITTEN ON ROOF,Cat,Outdoor Structure,E05000365,Turnham Green,Chiswick,520950,178550
D2190,2012,Special Service,260,DOG WITH LEG TRAPPED IN DRAIN,Dog,Outdoor,E05000162,Selsdon and Ballards,Addington,535450,162750
C2191,2012,Special Service,260,CAT TRAPPED IN DRAIN,Cat,Non Residential,E05009374,Hackney Wick,Homerton,535550,184550
C2192,2012,Special Service,260,CAT TRAPPED BEHIND BOILER,Cat,Dwelling,E05000038,River,Dagenham,549950,183550
B2193,2012,Special Service,260,ASSIST RSPCA WITH  BIRD TRAPPED NETTING,Bird,Dwelling,E05000353,Hanworth,Feltham,512650,172750
C2194,2012,Special Service,260,CAT TRAPPED BETWEEN WALL AND LEAN-TO OF NEIGHBOURING HOUSE,Cat,Dwelling,E05000415,Tudor,Kingston,518350,171250
D2195,2012,Special Service,260,DOG TRAPPED UNDER SHED,Dog,Dwelling,E05000226,Plumstead,Plumstead,545550,178350
C2196,2012,Special Service,260,ASSIST  RSPCA WITH CAT STUCK ON ROOF,Cat,Dwelling,E05000474,Wimbledon Park,Wandsworth,525750,172850
C2197,2012,Special Service,260,ASSIST  RSCPA  WITH CAT  STUCK  IN TREE,Cat,Outdoor,E05009375,Haggerston,Shoreditch,533850,183650
C2198,2012,Special Service,520,KITTEN TRAPPED UNDER FLOORBOARDS,Cat,Dwelling,E05000177,Greenford Broadway,Southall,513350,183250
L2199,2012,Special Service,260,LAMB TRAPPED IN WIRE FENCING,Lamb,Outdoor Structure,E05000203,Jubilee,Chingford,537350,194950
C2200,2012,Special Service,260,PREGNANT CAT TRAPPED BEHIND SHED,Cat,Outdoor Structure,E05000440,Catford South,Lee Green,539150,173150
C2201,2012,Special Service,260,CAT TRAPPED IN CHIMNEY POT,Cat,Dwelling,E05000125,Plaistow and Sundridge,Bromley,541450,171350
D2202,2012,Special Service,260,DOG TRAPPED IN PASSAGEWAY,Dog,Dwelling,E05000089,Dudden Hill,Willesden,522550,185250
C2203,2012,Special Service,260,CAT TRAPPED IN SKYLIGHT ON ROOF,Cat,Dwelling,E05000623,Shaftesbury,Battersea,527850,175350
C2204,2012,Special Service,260,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05009375,Haggerston,Shoreditch,533850,183650
C2205,2012,Special Service,260,CAT TRAPPED UNDER MANHOLE COVER,Cat,Outdoor,E05000633,Churchill,Lambeth,529050,178050
D2206,2012,Special Service,260,DOG WITH LEG TRAPPED IN BABY GATE,Dog,Dwelling,E05000623,Shaftesbury,Clapham,528450,175850
B2207,2012,Special Service,260,ASSIST RSPCA WITH BIRD TANGLED IN WIRE,Bird,Non Residential,E05000371,Finsbury Park,Holloway,530650,185950
B2208,2012,Special Service,260,ASSIST RSPCA WITH TRAPPED GULL,Bird,Dwelling,E05000632,Bryanston and Dorset Square,Paddington,527150,181650
C2209,2012,Special Service,260,KITTEN TRAPPED IN CHAIR,Cat,Dwelling,E05011236,Bridge,Woodford,541350,192050
S2210,2012,Special Service,260,SQUIRREL STUCK  INBETWEEN DRAINPIPE & HOUSE,Squirrel,Dwelling,E05000194,Bush Hill Park,Edmonton,533750,195650
B2211,2012,Special Service,260,SEAGULL TRAPPED,Bird,Dwelling,E05000643,Regent's Park,Paddington,527850,182150
C2212,2012,Special Service,260,ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Outdoor,E05000150,Coulsdon East,Purley,530150,158650
C2213,2012,Special Service,260,CAT TRAPPED UP CHIMNEY,Cat,Dwelling,E05000212,Upper Edmonton,Edmonton,532050,192050
H2214,2012,Special Service,520,HORSE STUCK IN WATER,Horse,Outdoor,E05000312,Harold Wood,Harold Hill,555950,190950
C2215,2012,Special Service,260,CAT TRAPPED IN BASEMENT,Cat,Dwelling,E05000142,Regent's Park,Euston,529050,182550
C2216,2012,Special Service,260,COW IN DISTRESS IN GRAND UNION CANAL,Cow,Outdoor,E05000330,Harefield,Ruislip,504050,191350
C2217,2012,Special Service,260,CAT STUCK ON 1ST FLOOR WINDOW LEDGE,Cat,Dwelling,E05000269,Crouch End,Hornsey,529550,187950
C2218,2012,Special Service,260,CAT WITH HEAD STUCK IN RAILINGS,Cat,Dwelling,E05011244,Goodmayes,Ilford,546050,186950
C2219,2012,Special Service,260,CAT TRAPPED IN PIPE,Cat,Non Residential,E05000617,Latchmere,Battersea,526750,175650
B2220,2012,Special Service,260,PIDEON TRAPPED IN SHOP,Bird,Non Residential,E05000363,Osterley and Spring Grove,Heston,516050,177650
F2221,2012,Special Service,260,FERRETT STUCK IN CAGE,Ferret,Outdoor,E05000594,Endlebury,Chingford,538150,194150
F2222,2012,Special Service,260,FOX TRAPPED BEHIND WALL,Fox,Outdoor,E05009372,Hackney Central,Homerton,535050,185150
B2223,2012,Special Service,780,BIRD WITH WING TRAPPED IN FISHING LINE WATER RESCUE LEVEL TWO IMPLEMENTED,Bird,Outdoor,E05000062,West Hendon,Hendon,522250,187750
C2224,2012,Special Service,260,CAT TRAPPED BY LEAD,Cat,Dwelling,E05011468,Fairfield,Croydon,532850,166350
C2225,2012,Special Service,260,KITTEN WITH LEG TRAPPED IN WINDON,Cat,Dwelling,E05000453,Telegraph Hill,New Cross,536150,175150
C2226,2012,Special Service,260,CAT TRAPPED UNDER BONNET OF CAR,Cat,Road Vehicle,E05000490,Plaistow South,Plaistow,541350,182550
D2227,2012,Special Service,260,"DOG FALLEN INTO CANAL, WATER RESCUE LEVEL 2",Dog,Outdoor,E05000325,Botwell,Hayes,509450,179950
C2228,2012,Special Service,260,KITTEN TRAPPED ON BRANCH OF TREE,Cat,Dwelling,E05011240,Clementswood,Ilford,544150,185950
C2229,2012,Special Service,520,KITTEN TRAPPED BETWEEN 2 SHEDS,Cat,Outdoor,E05000488,Manor Park,Stratford,542050,185050
C2230,2012,Special Service,260,CAT STUCK ON ROOF,Cat,Non Residential,E05000254,Fulham Broadway,Fulham,525250,177350
C2231,2012,Special Service,260,KITTEN TRAPPED BEHIND KITCHEN UNIT,Cat,Dwelling,E05000377,Mildmay,Islington,533050,185050
B2232,2012,Special Service,260,BIRD OF PREY TRAPPED IN TREE - CALLED BY RSPCA,Bird,Outdoor,E05000111,Chislehurst,Sidcup,545150,170750
C2233,2012,Special Service,260,CAT TRAPPED ON ROOF,Cat,Dwelling,E05000122,Orpington,Orpington,546150,166050
H2234,2012,Special Service,780,HORSE SINKING IN MUD,Horse,Outdoor,E05000075,Erith,Erith,550150,179550
H2235,2012,Special Service,780,PONY WITH LEG TRAPPED IN TRACTOR,Horse,Outdoor,E05000111,Chislehurst,Eltham,544350,171950
H2236,2012,Special Service,780,HORSE STUCK IN DITCH,Horse,Outdoor,E05000065,Belvedere,Erith,549450,180050
B2237,2012,Special Service,260,ASSIST RSPCA WITH INJURED SWAN IN CANAL,Bird,Outdoor,E05000281,Tottenham Hale,Tottenham,534950,189750
D2238,2012,Special Service,260,DOG TRAPPED IN HEDGE,Dog,Outdoor Structure,E05000453,Telegraph Hill,New Cross,535950,175450
B2239,2012,Special Service,260,ASSIST RSPCA WITH TRAPPED CROW OVER FISHING LAKE,Bird,Outdoor,E05000116,Crystal Palace,Beckenham,534650,171150
B2240,2012,Special Service,260,BIRDS TRAPPED IN DRAIN,Bird,Dwelling,E05000443,Evelyn,Deptford,536750,178450
C2241,2012,Special Service,260,CAT TRAPPED ON GLASS ROOF,Cat,Non Residential,E05000491,Royal Docks,Plaistow,542250,180150
C2242,2012,Special Service,260,CAT TRAPPED ON LEDGE,Cat,Dwelling,E05009325,Lansbury,Poplar,538750,181250
C2244,2012,Special Service,260,KITTEN TRAPPED IN MESH FENCE,Cat,Outdoor,E05000318,Rainham and Wennington,Wennington,552750,182250
C2245,2012,Special Service,260,CAT TRAPPED BETWEEN BARS OF CAT CAGE,Cat,Dwelling,E05000058,Oakleigh,Southgate,527650,193450
C2246,2012,Special Service,260,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05000420,Coldharbour,Brixton,531850,175450
H2247,2012,Special Service,780,ASSIST RSPCA WITH COLLAPSED HORSE,Horse,Outdoor,E05000114,Cray Valley East,Sidcup,548950,170150
B2248,2012,Special Service,260,BIRD TRAPPED IN WIRE,Bird,Non Residential,E05000375,Holloway,Holloway,530450,185050
C2249,2012,Special Service,260,KITTEN TRAPPED IN WALL VIA AIR VENT,Cat,Dwelling,E05000270,Fortis Green,Hornsey,528350,189450
C2250,2012,Special Service,260,CAT TRAPPED BETWEEN WALLS,Cat,Outdoor Structure,E05000324,Barnhill,Southall,510250,181250
B2251,2012,Special Service,260,BIRD STUCK DOWN DRAINPIPE,Bird,Dwelling,E05000050,Edgware,Mill Hill,519650,192150
C2252,2012,Special Service,260,ASSIST RSPCA WITH CAT ON ROOF,Cat,Dwelling,E05000414,Tolworth and Hook Rise,Surbiton,519250,166150
D2253,2012,Special Service,260,DOG STUCK BETWEEN WALLS OF FLAT,Dog,Dwelling,E05009391,Chelsea Riverside,Chelsea,527050,177650
C2254,2012,Special Service,260,CAT FALLEN FROM UPPER FLOOR,Cat,Dwelling,E05000138,Holborn and Covent Garden,Soho,531050,182150
C2255,2012,Special Service,260,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,Outdoor,E05000275,Noel Park,Tottenham,531350,190350
C2256,2012,Special Service,260,KITTEN STUCK IN HOLE,Cat,Dwelling,E05011255,Wanstead Village,Leytonstone,540150,188350
C2258,2012,Special Service,260,COW STUCK IN MUD,Cow,Outdoor,E05000318,Rainham and Wennington,Wennington,551350,180850
C2259,2012,Special Service,1040,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05000052,Garden Suburb,Finchley,525650,188850
c2260,2012,Special Service,520,ASSIST RSPCA WITH 2 CATS STUCK ON ROOF,Cat,Dwelling,E05000364,Syon,Heston,517450,177350
C2261,2012,Special Service,260,CAT TRAPPED IN RUBBISH CHUTE,Cat,Dwelling,E05009391,Chelsea Riverside,Chelsea,526650,177350
F2262,2012,Special Service,260,FOX STUCK ON THE THAMES,Fox,Outdoor,E05011117,Surrey Docks,Deptford,536550,180250
B2263,2012,Special Service,260,BIRD WITH FOOT TRAPPED IN WIRE,Bird,Non Residential,E05000200,Grange,Enfield,532850,196550
C2264,2012,Special Service,260,KITTEN TRAPPED UNDER LIFT,Cat,Dwelling,E05011110,Peckham,Peckham,534050,176850
C2265,2012,Special Service,260,ASSIST RSPCA OFFICER WITH CAT STUCK IN TREE,Cat,Dwelling,E05000204,Lower Edmonton,Edmonton,534850,194250
C2266,2012,Special Service,260,ASSIST RSPCA WITH CAT ON ROOF,Cat,Dwelling,E05011465,Broad Green,Norbury,530650,166850
C2267,2012,Special Service,260,CAT STUCK IN A FALSE CEILING,Cat,Non Residential,E05000268,Bruce Grove,Tottenham,533850,190150
B2268,2012,Special Service,260,BIRD WITH LEG TRAPPED IN STREET FURNITURE,Bird,Outdoor,E05000443,Evelyn,Deptford,536450,177850
C2269,2012,Special Service,260,CAT TRAPPED IN CABLING,Cat,Non Residential,E05000558,Carshalton Central,Sutton,526750,164650
C2270,2012,Special Service,260,KITTEN STUCK UNDER FLOOR,Cat,Dwelling,E05000518,Fulwell and Hampton Hill,Twickenham,514950,171350
D2271,2012,Special Service,260,DOG FALLEN INTO DISUSED BASEMENT AREA,Dog,Non Residential,E05009327,Mile End,Poplar,536750,181150
C2272,2012,Special Service,260,KITTEN TRAPPED UNDER FLOORBOARDS,Cat,Dwelling,E05000121,Mottingham and Chislehurst North,Eltham,542150,172750
C2273,2012,Special Service,260,CAT TRAPPED ON ROOF,Cat,Non Residential,E05000264,Town,Fulham,525250,177250
D2274,2012,Special Service,260,DOG TRAPPED IN FENCE,Dog,Non Residential,E05000189,Southall Broadway,Southall,512950,180050
F2275,2012,Special Service,260,FOX TRAPPED BETWEEN FENCE POSTS,Fox,Dwelling,E05011254,Wanstead Park,Leytonstone,541250,186850
C2276,2012,Special Service,NA,CAT FALLEN INTO RIVER THAMES,Cat,Outdoor,E05000552,Surrey Docks,Dockhead,535750,180350
C2277,2012,Special Service,260,CAT TRAPPED BETWEEN WALL AND FITTED WARDROBE,Cat,Dwelling,E05000276,Northumberland Park,Tottenham,533850,191450
C2278,2012,Special Service,260,CAT TRAPPED IN DRAIN,Cat,Outdoor,E05000299,Queensbury,Stanmore,518050,189950
C2279,2012,Special Service,260,CAT TRAPPED BEHIND SKIRTING BOARD,Cat,Dwelling,E05000095,Mapesbury,Willesden,523050,185350
D2281,2012,Special Service,260,DOG TRAPPED IN DITCH,Dog,Outdoor Structure,E05000156,Kenley,Purley,533050,159750
c2282,2012,Special Service,260,CATS TRAPPED UNDER CUPBOARD,Cat,Dwelling,E05000431,Streatham South,Norbury,529950,170450
C2283,2012,Special Service,260,KITTEN TRAPPED UNDER FLOORBOARDS,Cat,Dwelling,E05000032,Gascoigne,Barking,545050,183650
C2284,2012,Special Service,260,CAT TRAPPED UNDER FLOORBOARDS,Cat,Dwelling,E05000224,Middle Park and Sutcliffe,Lee Green,540750,175250
C2285,2012,Special Service,260,CAT STUCK DOWN DRAIN,Cat,Outdoor,E05000290,Harrow Weald,Stanmore,515650,191250
D2286,2012,Special Service,260,DOG LOCKED IN BATHROOM,Dog,Dwelling,E05009325,Lansbury,Poplar,538550,181150
C2287,2012,Special Service,260,COW STUCK IN RIVER,Cow,Outdoor,E05000206,Ponders End,Enfield,536350,195950
C2288,2012,Special Service,260,CAT TRAPPED INSIDE,Cat,Dwelling,E05009388,Abingdon,Kensington,524850,179050
C2289,2012,Special Service,260,ASSIST RSPCA WITH CAT ON ROOF,Cat,Dwelling,E05000614,Fairfield,Battersea,526650,175150
F2290,2012,Special Service,260,FOX TRAPPED IN BASEMENT,Fox,Dwelling,E05000484,Forest Gate South,Stratford,540350,185050
C2291,2012,Special Service,260,CAT STUCK ON ROOF,Cat,Dwelling,E05000262,Sands End,Fulham,526050,176350
C2292,2012,Special Service,NA,KITTEN TRAPPED IN BUSHES,Cat,Outdoor,E05000032,Gascoigne,Barking,543850,184050
C2293,2012,Special Service,260,ASSIST RSPCA WITH CAT IN TREE,Cat,Outdoor,E05011238,Churchfields,Woodford,539850,191350
C2294,2012,Special Service,260,CAT TRAPPED IN WATER PIPE,Cat,Dwelling,E05009386,Victoria,Bethnal Green,535050,184050
C2295,2012,Special Service,260,CAT STUCK UNDER CAR,Cat,Road Vehicle,E05000100,Stonebridge,Park Royal,520850,184050
H2296,2012,Special Service,780,HORSE STUCK IN RIVER - WATER RESCUE LEVEL 2,Horse,Outdoor,E05000341,Uxbridge South,Hillingdon,504950,181850
B2297,2012,Special Service,260,BIRD TRAPPED IN EXTRACTOR FAN,Bird,Dwelling,E05000294,Kenton East,Stanmore,517450,189350
C2298,2012,Special Service,260,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,Dwelling,E05000425,Larkhall,Clapham,529950,176350
C2299,2012,Special Service,260,CAT STUCK ON WINDOW LEDGE,Cat,Dwelling,E05000268,Bruce Grove,Tottenham,533350,190450
H2300,2012,Special Service,260,HORSE STUCK IN RESERVOIR,Horse,Outdoor,E05000600,Higham Hill,Walthamstow,536250,190950
C2301,2012,Special Service,260,CAT IN RAVENSBOURNE RIVER IN REAR GARDEN OF,Cat,Outdoor,E05000440,Catford South,Lewisham,537550,172950
C2302,2012,Special Service,260,CAT TRAPPED IN WINDOW,Cat,Dwelling,E05000268,Bruce Grove,Tottenham,533350,190450
B2303,2012,Special Service,260,ASSIST RSPCA OFFICER WITH PIGEON TRAPPED IN NETTING,Bird,Non Residential,E05000153,Fairfield,Croydon,532350,165250
C2304,2012,Special Service,260,CAT STUCK UNDER FLOORBOARDS,Cat,Dwelling,E05000216,Charlton,East Greenwich,540850,178050
H2305,2012,Special Service,260,UNABLE TO GAIN ACCESS TO HORSE BOX,Horse,Outdoor,NULL,NULL,Hertfordshire,534350,200450
D2306,2012,Special Service,520,PUPPY STUCK ON WINDOW LEDGE AT 3RD FLOOR LEVEL,Dog,Dwelling,E05009334,Stepney Green,Shadwell,535050,181850
D2308,2012,Special Service,260,DOG WITH HEAD STUCK IN  GARDEN WALL,Dog,Outdoor,E05000314,Heaton,Harold Hill,552750,191350
C2309,2012,Special Service,260,CAT TRAPPED UNDER SINK,Cat,Dwelling,E05011223,Crook Log,Bexley,548550,176550
